protocol,src-address,src-port,dst-address,dst-port,flow,service,tcp-state,resolved,mark,cc,asn,threat,description,modified,validation
udp,103.135.6.222,54016,74.125.24.95,443,OUT.bound,https,,youtubei.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,Whitelisted IP
udp,103.135.6.222,54016,74.125.24.95,443,OUT.bound,https,,appsitemsuggest-pa.clients6.google.com,LOKAL.c,US,AS15169 google llc,,,,Whitelisted IP
udp,103.135.6.222,54016,74.125.24.95,443,OUT.bound,https,,playstoregatewayadapter-pa.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,Whitelisted IP
udp,103.135.6.222,54016,74.125.24.95,443,OUT.bound,https,,peoplestack-pa.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,Whitelisted IP
udp,103.135.6.222,54016,74.125.24.95,443,OUT.bound,https,,accountcapabilities-pa.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,Whitelisted IP
udp,103.135.6.222,54016,74.125.24.95,443,OUT.bound,https,,espresso-pa.clients6.google.com,LOKAL.c,US,AS15169 google llc,,,,Whitelisted IP
udp,103.135.6.222,54016,74.125.24.95,443,OUT.bound,https,,photosdata-pa.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,Whitelisted IP
udp,103.135.6.222,54016,74.125.24.95,443,OUT.bound,https,,content-autofill.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,Whitelisted IP
udp,103.135.6.222,54016,74.125.24.95,443,OUT.bound,https,,firebaseremoteconfig.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,Whitelisted IP
udp,103.135.6.222,54016,74.125.24.95,443,OUT.bound,https,,maps.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,Whitelisted IP
udp,103.135.6.222,54016,74.125.24.95,443,OUT.bound,https,,chromewebstore.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,Whitelisted IP
udp,103.135.6.222,54016,74.125.24.95,443,OUT.bound,https,,passwordsleakcheck-pa.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,Whitelisted IP
udp,103.135.6.222,54016,74.125.24.95,443,OUT.bound,https,,peoplestack-pa.clients6.google.com,LOKAL.c,US,AS15169 google llc,,,,Whitelisted IP
udp,103.135.6.222,54016,74.125.24.95,443,OUT.bound,https,,android-context-data.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,Whitelisted IP
udp,103.135.6.222,54016,74.125.24.95,443,OUT.bound,https,,mdh-pa.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,Whitelisted IP
udp,103.135.6.222,54016,74.125.24.95,443,OUT.bound,https,,play.googleapis.com,LOKAL.c,US,AS15169 google llc,,,,Whitelisted IP
tcp,103.135.6.222,58029,92.223.85.87,443,OUT.bound,https,established,,INTL.c,SG,AS199524 g-core labs s.a.,,,,
tcp,103.135.6.222,63292,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,61227,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,58477,118.98.77.104,80,OUT.bound,http,established,,LOKAL.c,ID,AS7713 pt telekomunikasi indonesia,,,,
tcp,103.135.6.222,49462,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,56517,157.240.208.60,443,OUT.bound,https,established,media-cgk1-1.cdn.whatsapp.net,LOKAL.c,ID,AS32934 facebook  inc.,,,,
tcp,103.135.6.222,56517,157.240.208.60,443,OUT.bound,https,established,mmx-ds.cdn.whatsapp.net,LOKAL.c,ID,AS32934 facebook  inc.,,,,
tcp,103.135.6.222,54986,210.210.145.9,80,OUT.bound,http,established,,LOKAL.c,ID,AS4787 pt cyberindo aditama,,,,
tcp,103.135.6.222,53071,210.210.145.8,80,OUT.bound,http,established,,LOKAL.c,ID,AS4787 pt cyberindo aditama,,,,
tcp,103.135.6.222,55543,202.152.1.210,443,OUT.bound,https,established,a1847.dscd.akamai.net,LOKAL.c,ID,AS4800 aplikanusa lintasarta,,,,
tcp,103.135.6.222,49896,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,192.168.50.251,52351,172.253.118.94,443,OUT.bound,https,established,,,US,AS15169 google llc,,,,
tcp,103.135.6.222,63395,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,50053,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,51131,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,58674,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,50571,38.96.206.64,80,OUT.bound,http,established,msftstorebg.s.llnwi.net,INTL.c,US,AS174 cogent communications,ww1.imobitracking.net,critical  cronup threat  cyber threat  data  serious  tracking  emails collection  relay router   em,2023-11-25T05:42:59.043000,
tcp,103.135.6.222,58820,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,59005,210.64.173.5,14546,OUT.bound,,established,,INTL.c,TW,AS4780 digital united inc.,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-12-14T20:30:45.247000,
tcp,218.15.169.214,62776,103.135.6.223,50051,IN.bound,,established,,,CN,AS4134 chinanet,,,,
tcp,103.135.6.222,59491,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,60531,23.222.26.18,80,OUT.bound,http,established,,LOKAL.c,US,AS16625 akamai technologies  inc.,,,,Whitelisted IP
tcp,103.135.6.222,51949,199.232.46.248,80,OUT.bound,http,established,,INTL.c,SG,AS54113 fastly,,,,CDN IP ranges
tcp,103.135.6.222,61901,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,50692,202.152.1.201,80,OUT.bound,http,established,,LOKAL.c,ID,AS4800 aplikanusa lintasarta,,,,
tcp,103.135.6.222,50034,64.233.170.83,443,OUT.bound,https,established,,LOKAL.c,US,AS15169 google llc,,,,Whitelisted IP
tcp,103.135.6.222,55061,210.210.145.8,80,OUT.bound,http,established,,LOKAL.c,ID,AS4787 pt cyberindo aditama,,,,
tcp,103.135.6.222,64029,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,5775,139.180.147.117,443,OUT.bound,https,established,,INTL.c,SG,AS20473 the constant company  llc,,,,
tcp,103.135.6.222,61243,111.42.237.27,18038,OUT.bound,,established,,INTL.c,CN,AS132525 heilongjiang mobile communication company limited,Guardicore - 03-12-2023,,2023-12-04T00:13:24.600000,
tcp,103.135.6.222,65519,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,65530,210.210.145.8,80,OUT.bound,http,established,,LOKAL.c,ID,AS4787 pt cyberindo aditama,,,,
tcp,103.135.6.222,60896,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,54865,184.150.154.88,80,OUT.bound,http,established,,INTL.c,CA,AS577 bell canada,,,,Whitelisted IP
tcp,103.135.6.222,56052,203.161.21.19,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,50290,172.253.118.188,443,OUT.bound,https,established,,LOKAL.c,US,AS15169 google llc,router conns,Proto NATed Address  - 192.5.8  Â 1.4m -  is the latest in a long line of addresses to be considered,2023-03-20T00:01:17.081000,
tcp,192.168.2.1,41654,47.246.158.125,443,OUT.bound,https,established,,LOKAL.c,US,AS45102 alibaba (us) technology co.  ltd.,,,,
tcp,103.135.6.222,51353,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,49428,203.161.21.203,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,51977,23.111.12.2,80,OUT.bound,http,established,,INTL.c,SG,AS59253 leaseweb asia pacific pte. ltd.,,,,
tcp,142.251.209.35,443,103.135.6.222,56190,IN.bound,,established,,,US,AS15169 google llc,WebToolbar   www.ssc.spaceforce.mil ,,2023-12-02T03:20:31.494000,
tcp,103.135.6.222,52135,117.121.250.129,80,OUT.bound,http,established,,INTL.c,AU,AS22822 limelight networks  inc.,,,,
tcp,103.135.6.222,58679,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,52513,103.149.91.220,17057,OUT.bound,,established,,INTL.c,HK,AS142032 high family technology co.  limited,Guardicore - 03-12-2023,,2023-12-04T00:13:24.600000,
tcp,103.135.6.222,58424,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,56096,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,192.168.2.1,58168,172.253.118.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,US,AS15169 google llc,router conns,Proto NATed Address  - 192.5.8  Â 1.4m -  is the latest in a long line of addresses to be considered,2023-03-20T00:01:17.081000,
tcp,192.168.2.1,45750,71.18.255.144,443,OUT.bound,https,established,,INTL.c,US,AS138699 tiktok pte. ltd.,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,
tcp,103.135.6.222,56935,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,55328,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,185.224.128.184,25723,103.135.6.223,80,IN.bound,http,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-12-14 Port Scan,,2023-12-14T22:59:14.943000,
tcp,103.135.6.222,40724,31.13.95.34,443,OUT.bound,https,established,,LOKAL.c,ID,AS32934 facebook  inc.,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-12-14T20:30:45.247000,Whitelisted IP
tcp,103.135.6.222,64506,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,50224,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,57399,117.121.250.0,80,OUT.bound,http,established,,INTL.c,AU,AS22822 limelight networks  inc.,,,,
tcp,192.168.2.1,51270,157.240.208.61,5222,OUT.bound,xmpp-client,established,,LOKAL.c,ID,AS32934 facebook  inc.,,,,
tcp,103.135.6.222,62486,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,192.168.2.1,36510,74.125.68.188,5228,OUT.bound,hpvroom,established,mobile-gtalk.l.google.com,LOKAL.c,,,,,,
tcp,192.168.2.1,45452,47.246.158.168,443,OUT.bound,https,established,,LOKAL.c,US,AS45102 alibaba (us) technology co.  ltd.,,,,
tcp,103.135.6.222,62273,210.210.145.9,80,OUT.bound,http,established,,LOKAL.c,ID,AS4787 pt cyberindo aditama,,,,
tcp,192.168.2.1,51066,210.210.145.136,443,OUT.bound,https,established,,LOKAL.c,ID,AS4787 pt cyberindo aditama,,,,
tcp,103.135.6.222,62366,157.240.208.60,443,OUT.bound,https,established,media-cgk1-1.cdn.whatsapp.net,LOKAL.c,ID,AS32934 facebook  inc.,,,,
tcp,103.135.6.222,62366,157.240.208.60,443,OUT.bound,https,established,mmx-ds.cdn.whatsapp.net,LOKAL.c,ID,AS32934 facebook  inc.,,,,
tcp,103.135.6.222,52078,103.149.91.220,17057,OUT.bound,,established,,INTL.c,HK,AS142032 high family technology co.  limited,Guardicore - 03-12-2023,,2023-12-04T00:13:24.600000,
tcp,103.135.6.222,52904,203.77.191.0,80,OUT.bound,http,established,,INTL.c,JP,AS22822 limelight networks  inc.,,,,
tcp,103.135.6.222,50268,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,192.168.2.1,48294,103.167.27.36,443,OUT.bound,https,established,,INTL.c,SG,AS142160 joyo technology pte. ltd.,,,,
tcp,103.135.6.222,61150,23.219.204.152,80,OUT.bound,http,established,,LOKAL.c,BR,AS4230 claro s.a.,,,,
tcp,103.135.6.222,52575,203.161.21.35,80,OUT.bound,http,established,a122.dscg3.akamai.net,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,60441,202.152.1.202,80,OUT.bound,http,established,a1847.dscd.akamai.net,LOKAL.c,ID,AS4800 aplikanusa lintasarta,,,,
tcp,103.135.6.222,50782,103.66.70.62,80,OUT.bound,http,established,,INTL.c,ID,AS133840 pt jala lintas media,,,,
tcp,103.135.6.222,63486,74.125.24.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,US,AS15169 google llc,router conns,Proto NATed Address  - 192.5.8  Â 1.4m -  is the latest in a long line of addresses to be considered,2023-03-20T00:01:17.081000,Whitelisted IP
tcp,103.135.6.222,49324,64.233.170.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,US,AS15169 google llc,,,,Whitelisted IP
tcp,103.135.6.222,57285,20.198.119.143,443,OUT.bound,https,established,wns.notify.trafficmanager.net,INTL.c,IN,AS8075 microsoft corporation,,,,Cloud Provider IP range
